secp256r1,0x2a1a0d0600403c91425b3bd2f88e9dc4092bfbe1717379aa51196e0103df636a,0xd4b6e0c6d53eccb22e573f87b0ac31de3705980583f2008a37a42df77af01f0f
a3b414c3fb11e23c08f002f5f4098dd1b112e47e616bcd8ff22f99fea6b19c57,-8b7507f6e86bbfa214aa266d1bb6c0f9e1da233f331c66fad276e63a31e1a50,32
aac68ee86c0f33db8c489847800e49c096fc1bf749d1100ee8c70978b26d8a03,-9a492c8aef3ce72524fa7c9c136a3bdbad17f7ac19caa4c4720f75dbce86ce13,32
b7892563a2802391afe8e398377cbe37034b3850316347d756dfdef49788c0c6,-341b0569295c7693968d5cfaf930641108e14c3d78824d8be59961a117dd6263,32
9d373aa55da6d477758bf356f45cc74056fd775176cfd5d3350d17b2ba02cb16,-19a0e30b29a02bbd566ed5eba94fbc897eee10141a7a56323ae55c3a8d4cfea,32
c4d808a5df5e6b4d34d7a65546c4c0768ce4447b9c1ff9388db6c5e78e55720e,-4de8e922d1862235eaa1794c25be6e5188c27c6630b0eb00773fa7d5a4e41858,32
d2a83491631f775b1e4069c8802fdd88584398ca36cc6f55e05f9d10e4f0faad,-8629a41e842d5743399c78d3e7b7d59a2f1817ed3d3448f67d11ab0506cf3239,32
6712a5a42b1b04c7a82abf2a2824bdbef6f5848ddbeb28f107753429b93f11ba,-1aa1b073dc857beadff56d7a9904018ecf6f516e0a989dc70b21f04bed809105,32
ea414072c35be2256ebcbbe17693e45e9a822d23ebffb0e126259aba9a060f63,-a49f8d4cd0ab60f84a7f47d85851615aa447baf6b950f9fb46f9f2e16ad53b9f,32
cb8f263c871dfdd81db6806c070b2253a354634e1df7f3e8f91379fbd231192f,-d996837d5e88bce97bdde88a2ea937ae2714d3ff597f730e1694e65ccbc2ca97,32
a7e5c2e79e4b9325980297f22239bb2fbfe9261dfad969e0a2c22b8996e4148b,-691d1751bacd8dd414ab189699080cc0f7d34969d6db7f336951e5ebb8d91aec,32
7dc5c5aa527757f21aa99b0802479612fc79c54b10522edf4e718d2b8816c7b3,-15a76742272c333b64be642ad3cb3abb0cde2278589fed0d7ca3144c5d7f5e5a,32
3f2baa35fb71637285d75008a78761c64ddc86e83936f59cc3948ca05c951672,-1589584721f8a15bc58ece71d3a5c5a6e238d6b4ff660d684d5cadf9baf0d83d,32
150c6f0cdf8477467b9532553cf843a2edc72383eb7e8e67dea31a8b33e7212b,-351ab25a0d5a0700f9b2b5e7fd7a5fb87763b6bb1648b1ca61f5fa984febd3db,32
4942121f0bd0e4b96601f5fa3f2394329a08635225fc2cbb83b96ed0287ea884,-f28c4fe4e833d2a0daa990ba8de6b93a8042376ecbe6fd02811647894e03b9a7,32
5af79fae261f389a3a313ff48ab3fd4949f0c5b1d11336450e47f6689b8cf31e,-f04c943ff3753a5e303a4d55f9ab301978cf252487127ba032610148bdabb2f3,32
485843343b4d69008b07ba97a8c9fdccd94ead471f2ce6078cc7a0496f25cd4d,-f137609b84ff8c9880811c9706df3c35de70c12e828ea97ad5fd4b144634f8fc,32
7b5193a8284c3d060c532d607a236707f52d35580e526062c7657f5c38e8a67,-dc4439452ebc833cdd5bdf68a530369354c2b5261f3fa6b423e568fabc78d46c,32
1703a2976d7e43ba0aaed3f68201433e5e48f9a4c6b16a2cb18d51d04e70e81d,-33c551158477959946b08a35fef089290d295eb20cd7412b9df769371d1b10af,32
14a78b1efad05fc9ba1eedb128620835c9364778d4add710fdd8e97a9492ed47,-cd64e093d873e06471ea4a3668aba06c123e721a950621f68b0dca006b59907c,32
b3494b1c52978653381694d96d720e91a7844a6abbe2ee98d736b5111d785a77,c4d1c50e15993d100e50222e1465f34a8e89bbbb93f376c4e58ebf9fcbfab5,32
bd12c71a92eaaa483616697cb9fe1fccbad9d3aa55c590545eee0102397a85e1,-288bd77f68d3b11f95ab307a718f7ceb9687284ac4526d29d56a309fcaea2a3f,32
a30a12bdb849cf0c3e3985590e0bd85a6997732d98ae6c9ca0ed2d07286bbbf9,-abed6d4817fe2798ceefd4b3846a471d01fac0f2624f934e8483e1a4af38edd2,32
2e6ff71215eefedb8914ca05242e7b9c936cb48d73b5a17769cbcb7fe0e1f768,-7e9340a310b83e09a8d02668f5403b6664d1ab6801b483b6f353afd49f807e47,32
4e9ba84ef98c65e8cdaee0a8b7e66a33b359b1afe392b61cfcb66506d0da113d,-5d5532130932e0083e0085c747b84eea2c976edbc3049dcb1d093febb6d0cb86,32
7af94bbf3baa2b4b5a03c969e10016bb5c7f2ddd989d28baec376b23cf3fb986,-f36abe5c5e9d52af3623536cb684035ff742107b48b16b355d222595517fb860,32
6fc0172fb0c5e46465fd76b6b8c160302601c81e81794fdfde7bd08d7fd0becf,-9037142cf3055bf68d05c3f22bed8e1b23562dc88cd5527c839d5cda3cf04d2f,32
89f2f22d2a93644246390b89de31480db4a4b61b83489505f1930b229c121907,-58493b1c4657141562e75b0ae8889f88b1426fe45b1b6c7eeff20eb455fea1ae,32
496cacd97e235525962206b90bae50dfb29cdc13b973d3bc0ac1ed71234a1386,278dbb14146f0c3fd9392ae4197fd379cbbbeb405010477e9bd5684d8520b61,32
